,symbol,time stamp,open,high,low,close,volume
35071,TSLA,2023-02-24 12:31,195.858,196.08,195.76,195.95,210479
35072,TSLA,2023-02-24 12:32,195.94,196.32,195.8701,196.244,273966
35073,TSLA,2023-02-24 12:33,196.24,196.29,195.95,196.0899,212365
35074,TSLA,2023-02-24 12:34,196.092,196.16,195.87,196.0274,192086
35075,TSLA,2023-02-24 12:35,196.01,196.16,195.97,196.0445,152199
35076,TSLA,2023-02-24 12:36,196.0528,196.22,195.9709,196.2,214202
35077,TSLA,2023-02-24 12:37,196.2,196.42,196.07,196.2828,221991
35078,TSLA,2023-02-24 12:38,196.305,196.305,195.94,196.09,180870
35079,TSLA,2023-02-24 12:39,196.08,196.12,195.69,195.7906,228216
35080,TSLA,2023-02-24 12:40,195.7899,195.8699,195.47,195.5601,261913
35081,TSLA,2023-02-24 12:41,195.5887,195.73,195.4401,195.7188,234712
35082,TSLA,2023-02-24 12:42,195.711,195.7699,195.5501,195.7,146895
35083,TSLA,2023-02-24 12:43,195.715,195.88,195.36,195.4621,273339
35084,TSLA,2023-02-24 12:44,195.4607,195.65,195.39,195.6079,116486
35085,TSLA,2023-02-24 12:45,195.57,195.6,195.26,195.375,257841
35086,TSLA,2023-02-24 12:46,195.3899,195.4236,195.11,195.175,247693
35087,TSLA,2023-02-24 12:47,195.19,195.21,195.0,195.15,370063
35088,TSLA,2023-02-24 12:48,195.16,195.29,195.0442,195.115,202001
35089,TSLA,2023-02-24 12:49,195.1274,195.17,194.9,194.93,305877
35090,TSLA,2023-02-24 12:50,194.93,195.1179,194.8,194.9902,346567
35091,TSLA,2023-02-24 12:51,194.99,195.2511,194.9343,195.175,210109
35092,TSLA,2023-02-24 12:52,195.185,195.27,195.0546,195.226,200014
35093,TSLA,2023-02-24 12:53,195.235,195.37,195.11,195.16,232014
35094,TSLA,2023-02-24 12:54,195.1699,195.35,195.07,195.295,139282
35095,TSLA,2023-02-24 12:55,195.28,195.28,195.0,195.0257,162237
35096,TSLA,2023-02-24 12:56,195.0493,195.33,195.0493,195.168,156308
35097,TSLA,2023-02-24 12:57,195.1776,195.1953,194.9,194.92,203508
35098,TSLA,2023-02-24 12:58,194.9292,195.0131,194.75,194.8944,231028
35099,TSLA,2023-02-24 12:59,194.9174,195.13,194.88,195.01,176577
35100,TSLA,2023-02-24 13:00,195.04,195.1397,194.81,194.91,193433
35101,TSLA,2023-02-24 13:01,194.9157,194.9988,194.7677,194.97,276832
35102,TSLA,2023-02-24 13:02,194.98,195.06,194.5606,194.7372,370247
35103,TSLA,2023-02-24 13:03,194.72,194.83,194.55,194.64,231993
35104,TSLA,2023-02-24 13:04,194.63,194.79,194.38,194.38,294956
35105,TSLA,2023-02-24 13:05,194.3787,194.5681,194.24,194.54,282077
35106,TSLA,2023-02-24 13:06,194.54,194.5498,194.2,194.2499,218039
35107,TSLA,2023-02-24 13:07,194.25,194.29,194.0,194.125,407512
35108,TSLA,2023-02-24 13:08,194.11,194.32,194.08,194.1938,233785
35109,TSLA,2023-02-24 13:09,194.2089,194.38,194.15,194.3,199820
35110,TSLA,2023-02-24 13:10,194.29,194.37,194.18,194.3699,148164
35111,TSLA,2023-02-24 13:11,194.355,194.72,194.33,194.639,301996
35112,TSLA,2023-02-24 13:12,194.64,194.818,194.5701,194.7429,258731
35113,TSLA,2023-02-24 13:13,194.7401,194.95,194.7011,194.76,248660
35114,TSLA,2023-02-24 13:14,194.73,194.83,194.64,194.69,235372
35115,TSLA,2023-02-24 13:15,194.68,195.11,194.6378,194.9017,330427
35116,TSLA,2023-02-24 13:16,194.9124,195.03,194.7535,194.9226,204800
35117,TSLA,2023-02-24 13:17,194.91,194.938,194.77,194.86,130070
35118,TSLA,2023-02-24 13:18,194.8458,195.01,194.8,194.8818,140852
35119,TSLA,2023-02-24 13:19,194.9,195.23,194.82,195.16,268508
35120,TSLA,2023-02-24 13:20,195.1513,195.35,195.04,195.2612,305587
35121,TSLA,2023-02-24 13:21,195.26,195.6,195.1901,195.555,455547
35122,TSLA,2023-02-24 13:22,195.5352,195.68,195.41,195.5985,276165
35123,TSLA,2023-02-24 13:23,195.6,195.65,195.46,195.57,239277
35124,TSLA,2023-02-24 13:24,195.58,195.77,195.57,195.61,205031
35125,TSLA,2023-02-24 13:25,195.6,195.77,195.47,195.5523,300415
35126,TSLA,2023-02-24 13:26,195.56,195.69,195.5421,195.6001,197746
35127,TSLA,2023-02-24 13:27,195.616,195.86,195.55,195.835,262738
35128,TSLA,2023-02-24 13:28,195.83,195.86,195.58,195.6314,168902
35129,TSLA,2023-02-24 13:29,195.65,195.6895,195.43,195.522,214228
35130,TSLA,2023-02-24 13:30,195.54,195.5634,195.31,195.5301,323361
35131,TSLA,2023-02-24 13:31,195.5245,195.63,195.4,195.585,179392
35132,TSLA,2023-02-24 13:32,195.575,195.65,195.23,195.33,239658
